Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT
Date,,,,,,,,,,,,,,,,,,
2022-01-03 00:00:00+00:00,179.27359008789062,144.71908569335938,326.9408264160156,182.00999450683594,145.07449340820312,334.75,182.8800048828125,145.5500030517578,338.0,177.7100067138672,143.50250244140625,329.7799987792969,177.8300018310547,144.47549438476562,335.3500061035156,104487900,25214000,28865100
2022-01-04 00:00:00+00:00,176.9983367919922,144.06271362304688,321.334716796875,179.6999969482422,144.41650390625,329.010009765625,182.94000244140625,146.61000061035156,335.20001220703125,179.1199951171875,143.81614685058594,326.1199951171875,182.6300048828125,145.55050659179688,334.8299865722656,99310400,22928000,32674300
2022-01-05 00:00:00+00:00,172.2902069091797,137.3162841796875,308.9993896484375,174.9199981689453,137.65350341796875,316.3800048828125,180.1699981689453,144.29800415039062,326.07000732421875,174.63999938964844,137.52349853515625,315.9800109863281,179.61000061035156,144.18099975585938,325.8599853515625,94537600,49642000,40054300
2022-01-06 00:00:00+00:00,169.41409301757812,137.2140350341797,306.5577087402344,172.0,137.55099487304688,313.8800048828125,175.3000030517578,139.68600463867188,318.70001220703125,171.63999938964844,136.7635040283203,311.489990234375,172.6999969482422,137.49749755859375,313.1499938964844,96904000,29050000,39646100
2022-01-07 00:00:00+00:00,169.58155822753906,136.6688690185547,306.7138977050781,172.1699981689453,137.00450134277344,314.0400085449219,174.13999938964844,138.25474548339844,316.5,171.02999877929688,135.78900146484375,310.0899963378906,172.88999938964844,137.90499877929688,314.1499938964844,86709100,19408000,32720000
2022-01-10 00:00:00+00:00,169.60122680664062,138.23452758789062,306.9385986328125,172.19000244140625,138.57400512695312,314.2699890136719,172.5,138.63999938964844,314.7200012207031,168.1699981689453,133.1405029296875,304.69000244140625,169.0800018310547,135.0989990234375,309.489990234375,106765600,34096000,44289500
2022-01-11 00:00:00+00:00,172.44781494140625,139.6744842529297,307.63201904296875,175.0800018310547,140.0175018310547,314.9800109863281,175.17999267578125,140.32949829101562,316.6099853515625,170.82000732421875,136.81350708007812,309.8900146484375,172.32000732421875,138.1804962158203,313.3800048828125,76138300,23502000,29386800
2022-01-12 00:00:00+00:00,172.89105224609375,141.3009796142578,310.8452453613281,175.52999877929688,141.6479949951172,318.2699890136719,177.17999267578125,142.8142547607422,323.4100036621094,174.82000732421875,141.11199951171875,317.0799865722656,176.1199951171875,141.55450439453125,319.6700134277344,74805200,23642000,34372200
2022-01-13 00:00:00+00:00,169.60122680664062,138.7901611328125,297.68951416015625,172.19000244140625,139.13099670410156,304.79998779296875,176.6199951171875,143.1855010986328,320.8800048828125,171.7899932861328,138.91400146484375,304.0,175.77999877929688,141.8404998779297,320.4700012207031,84505800,26566000,45366000
2022-01-14 00:00:00+00:00,170.46803283691406,139.4440460205078,302.96356201171875,173.07000732421875,139.7864990234375,310.20001220703125,173.77999877929688,141.20050048828125,310.82000732421875,171.08999633789062,137.5,303.75,171.33999633789062,137.5,304.25,80440800,23826000,39846400
2022-01-18 00:00:00+00:00,167.24716186523438,135.95660400390625,295.58966064453125,169.8000030517578,136.29049682617188,302.6499938964844,172.5399932861328,137.39149475097656,309.79998779296875,169.41000366210938,135.61700439453125,301.739990234375,171.50999450683594,136.60000610351562,304.07000732421875,90956700,27382000,42333200
2022-01-19 00:00:00+00:00,163.73086547851562,135.31967163085938,296.2538146972656,166.22999572753906,135.65199279785156,303.3299865722656,171.0800018310547,138.39950561523438,313.9100036621094,165.94000244140625,135.5,302.70001220703125,170.0,136.93850708007812,306.2900085449219,94815000,20796000,45933900
